name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
Dancel,Fixal,0.4167,0.1667,0.6667,
Dancel,Rhinil,0.4167,0.1667,0.6667,
Esoral,Etizin,0.4167,0.1667,0.6667,
Esoral,Exium,0.4167,0.1667,0.6667,
Etizin,Odmon,0.4167,0.1667,0.6667,
Etizin,Opton,0.4167,0.1667,0.6667,
Filmet,Flugal,0.4167,0.1667,0.6667,
Fixal,M-Kast,0.4167,0.1667,0.6667,
Fixal,Maxima,0.4167,0.1667,0.6667,
M-Kast,Progut,0.4167,0.1667,0.6667,
Opton,Progut,0.4167,0.1667,0.6667,
Rhinil,Sergel,0.4167,0.1667,0.6667,
Aceta,Atrizin,0.4159,0.1429,0.6889,
Aceta,Omastin,0.4159,0.1429,0.6889,
Atrizin,Metro,0.4159,0.1429,0.6889,
Conaz,Denixil,0.4159,0.1429,0.6889,
Denixil,Monas,0.4159,0.1429,0.6889,
Dinafex,Renova,0.4159,0.1429,0.6889,
Denixil,Flexibac,0.4139,0.2500,0.5778,
Fexofast,Omastin,0.4139,0.2500,0.5778,
Montex,Napa Extend,0.4131,0.1818,0.6444,
Dinafex,Fexofast,0.4125,0.1250,0.7000,
Amodis,Esonix,0.4083,0.3333,0.4833,
Axodin,Odmon,0.4083,0.3333,0.4833,
Dancel,Montex,0.4083,0.3333,0.4833,
Esonix,Rhinil,0.4083,0.3333,0.4833,
Montex,Opton,0.4083,0.3333,0.4833,
Ritch,Tridosil,0.4083,0.2500,0.5667,
Bacmax,Flexilax,0.4075,0.2500,0.5651,
Esonix,Flexilax,0.4075,0.2500,0.5651,
Metro,Tridosil,0.4069,0.1250,0.6889,
Aceta,Ketoral,0.4067,0.2857,0.5278,
Aceta,Ketotab,0.4067,0.2857,0.5278,
Aceta,Montair,0.4067,0.2857,0.5278,
Azyth,Nidazyl,0.4067,0.2857,0.5278,
Bacaid,Fenadin,0.4067,0.2857,0.5278,
Bacaid,Lucan-R,0.4067,0.2857,0.5278,
Bacaid,Montair,0.4067,0.2857,0.5278,
Beklo,Ketocon,0.4067,0.2857,0.5278,
Beklo,Trilock,0.4067,0.2857,0.5278,
Bicozin,Rozith,0.4067,0.2857,0.5278,
